ID;SEZIONE;NOME IDROMETRO;NOME_BACIN;DATI_DA;NOME_DOMIN;COMUNE;PROV;REGIONE;BACINO;LON;LAT;AREA;CORR_TIME;CN;THR1;THR2;THR3;ALERTZONE;Q_ALLARME;Q_ARANCIONE;Q_ALLERTA;Fonte Q_soglia;StimaQoss;QUAL1_5;CALIBRATO;Err_Rel_Qp;NashSut;FonteSdD
-9999;Acqualagna;Acqualagna;Metauro;Metauro, Acqualagna;MarcheDomain;-;-;MARCHE;-9999;12.68448;43.62819;616;7.0;-9999;150;200;300;-9999;112;166;288;CF;Scala di deflusso;5;si;-0.163;0.13;Regione Marche, 2021
74;Alba Q.A.;Alba;Tanaro;Tanaro, Alba Q.A.;PoBasin;Alba;CN;Piemonte;45;8.02703;44.70556;3350;15.9;66;250;380;410;83;1312;2243;2484;CF;Scala di deflusso;3;no;-0.35;0.69;ARPAPiemonte, 2008
-9999;Albanella;Albanella;Sele;Sele, Albanella;BasilicataDomain;-;-;Campania;-9999;15.01425;40.497;2950;14.9;-9999;610;660;670;-9999;2032;2255;2300;CF;Scala di deflusso;2;no;-0.685;0.33;Arpa Campania, 1993
211;Albaredo;Albaredo;Adige;Adige, Albaredo;AdigeDomain;ALBAREDO D'ADIGE;VR;VENETO;51;11.26187;45.30967;11980;29.8;-9999;-9999;-9999;-9999;158;2375;3065;3345;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Albisola;-;Sansobbia;Sansobbia, Albisola;LiguriaDomain;-;-;LIGURIA;-9999;8.50766;44.33048;57;2.3;-9999;240;320;-9999;3;102;180;245;Statistica;-9999;-9999;no;-9999;-9999;N.D.
176;Alessandria;Alessandria Tanaro;Tanaro;Tanaro, Alessandria;PoBasin;ALESSANDRIA;AL;PIEMONTE;45;8.60824;44.91764;5260;19.8;65;360;410;530;-9999;1396;1681;2369;CF;Scala di deflusso;4;no;0.128;-0.91;ARPAPiemonte, 2018
-9999;Allai;-;Tirso;Tirso, Allai;SardegnaDomain;-;-;SARDEGNA;-9999;8.85745;39.95773;700;7.4;-9999;200;300;378;-9999;128;203;256;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Allerona;Allerona;Paglia;Paglia, Allerona;TevereBasin;-;-;Lazio;-9999;12.0325;42.7714;635;7.1;-9999;260;350;500;-9999;107;178;326;CF;Scala di deflusso;2;si;-0.151;0.35;CF Umbria, 2018
-9999;Alpe Gera;-;Cormor;Cormor, Alpe Gera;PoBasin;-;-;-;-9999;9.9445;46.31458;35.92;1.9;-9999;-9999;-9999;-9999;-9999;7;10;13;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Altare;-;Bormida;Bormida, Altare;LiguriaDomain;-;-;LIGURIA;-9999;8.3275;44.32417;39;1.9;-9999;-9999;-9999;-9999;4;36;64;86;Statistica;-9999;-9999;no;-9999;-9999;N.D.
38;Altopantano;Altopantano;Biferno;Biferno, Altopantano;VolturnoDomain;GUGLIONESI;CB;MOLISE;13;14.98055;41.92455;1270;9.9;68;160;390;530;72;22;325;619;CF;Scala di deflusso;2;no;-0.348;-0.96;Arpa Campania (non ufficiali)
-9999;Alviano;Alviano;Tevere;Tevere, Alviano;TevereBasin;-;-;Lazio;-9999;12.2533;42.5836;7200;23.2;-9999;-9999;-9999;-9999;-9999;1200;1591;1723;Statistica;Modello rilascio diga;-9999;no;-9999;-9999;N.D.
100;Ameglia;Ameglia Foce Magra;Magra;Magra, Ameglia;LiguriaDomain;AMEGLIA;SP;LIGURIA;47;9.9722;44.07884;1680;11.3;64;150;200;330;5;1871;3296;4478;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Amorosi;Amorosi;Volturno;Volturno, Amorosi;VolturnoDomain;-;-;Campania;-9999;14.4464;41.1919;2020;12.4;66;310;340;350;-9999;514;595;623;CF;Scala di deflusso;3;si;-0.51;0.47;Arpa Campania (non ufficiali)
-9999;AncipaDiga;Ancipa Diga R2;Simeto;Simeto, AncipaDiga;SiciliaDomain;-;-;SICILIA;-9999;14.58;37.82;48.61;2.1;-9999;-9999;-9999;-9999;-9999;15;25;32;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Antrodoco;-;Velino;Velino, Antrodoco;TevereBasin;-;-;Lazio;-9999;13.0781;42.4208;245;4.5;-9999;120;150;180;-9999;85;159;227;Statistica;-9999;-9999;no;-9999;-9999;N.D.
